county_id,county
1,ADAMS
3,ASHLAND
5,BARRON
7,BAYFIELD
9,BROWN
11,BUFFALO
13,BURNETT
15,CALUMET
17,CHIPPEWA
19,CLARK
21,COLUMBIA
23,CRAWFORD
25,DANE
27,DODGE
29,DOOR
31,DOUGLAS
33,DUNN
35,EAU
37,FLORENCE
39,FOND
41,FOREST
43,GRANT
45,GREEN
47,GREEN
49,IOWA
51,IRON
53,JACKSON
55,JEFFERSON
57,JUNEAU
59,KENOSHA
61,KEWAUNEE
63,LA
65,LAFAYETTE
67,LANGLADE
69,LINCOLN
71,MANITOWOC
73,MARATHON
75,MARINETTE
77,MARQUETTE
78,MENOMINEE
79,MILWAUKEE
81,MONROE
83,OCONTO
85,ONEIDA
87,OUTAGAMIE
89,OZAUKEE
91,PEPIN
93,PIERCE
95,POLK
97,PORTAGE
99,PRICE
101,RACINE
103,RICHLAND
105,ROCK
107,RUSK
109,ST.
111,SAUK
113,SAWYER
115,SHAWANO
117,SHEBOYGAN
119,TAYLOR
121,TREMPEALEAU
123,VERNON
125,VILAS
127,WALWORTH
129,WASHBURN
131,WASHINGTON
133,WAUKESHA
135,WAUPACA
137,WAUSHARA
139,WINNEBAGO
141,WOOD
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,